City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sao joao do paraiso,-15.3136,-42.0144,30.22,31,0,5.75,BR,1715193478
1,margaret river,-33.95,115.0667,17.45,48,100,4.94,AU,1715193748
2,hadibu,12.65,54.0333,29.62,72,2,1.14,YE,1715193748
3,tsiombe,-25.3,45.4833,21.36,83,0,3.06,MG,1715193748
4,wailua homesteads,22.0669,-159.378,26.24,82,100,4.63,US,1715193748
5,mikuni,36.2171,136.1519,9.95,70,100,6.34,JP,1715193749
6,tiksi,71.6872,128.8694,-9.37,95,63,3.24,RU,1715193749
7,edinburgh of the seven seas,-37.0676,-12.3116,14.32,67,35,10.7,SH,1715193749
8,ushuaia,-54.8,-68.3,3.79,81,20,0.51,AR,1715193674
9,reguiba,33.5639,6.7033,23.03,43,50,5.14,DZ,1715193749
10,machico,32.7,-16.7667,22.62,86,40,2.57,PT,1715193749
11,ust-nera,64.5667,143.2,1.26,82,100,0.19,RU,1715193749
12,ilulissat,69.2167,-51.1,-2.99,74,75,5.14,GL,1715193749
13,hammerfest,70.6634,23.6821,3.25,48,0,5.14,NO,1715193749
14,albany,42.6001,-73.9662,26.0,70,7,0.45,US,1715193749
15,hamilton,39.1834,-84.5333,29.58,52,0,2.06,US,1715193749
16,port-aux-francais,-49.35,70.2167,4.89,74,81,7.52,TF,1715193749
17,avarua,-21.2078,-159.775,28.03,89,75,4.12,CK,1715193749
18,atafu village,-8.5421,-172.5159,29.58,75,31,5.31,TK,1715193749
19,ribeira grande,38.5167,-28.7,19.32,72,40,7.72,PT,1715193749
20,west island,-12.1568,96.8225,26.99,78,40,5.14,CC,1715193749
21,grytviken,-54.2811,-36.5092,-3.45,69,6,3.06,GS,1715193750
22,saint-pierre,-21.3393,55.4781,23.82,64,0,8.75,RE,1715193750
23,kenai,60.5544,-151.2583,7.05,65,100,5.14,US,1715193750
24,wanganui,-39.9333,175.05,7.87,77,99,3.41,NZ,1715193750
25,newman,37.3138,-121.0208,21.7,36,0,10.28,US,1715193750
26,udachny,66.4167,112.4,-6.97,89,40,2.93,RU,1715193750
27,mamfe,5.754,9.3123,25.97,86,63,0.88,CM,1715193750
28,kismayo,-0.3582,42.5454,26.7,86,100,7.62,SO,1715193750
29,waitangi,-43.9535,-176.5597,8.79,83,100,3.99,NZ,1715193750
30,hermanus,-34.4187,19.2345,10.45,78,0,2.41,ZA,1715193678
31,tazovsky,67.4667,78.7,-14.27,98,69,3.13,RU,1715193750
32,saipan,15.1355,145.701,28.39,78,40,6.17,MP,1715193750
33,bethel,41.3712,-73.414,28.81,64,40,3.6,US,1715193671
34,puerto ayora,-0.7393,-90.3518,26.98,95,100,0.45,EC,1715193750
35,vilyuchinsk,52.9306,158.4028,1.63,82,100,3.16,RU,1715193750
36,sola,-13.8833,167.55,26.7,69,100,8.5,VU,1715193750
37,thompson,55.7435,-97.8558,10.09,53,40,3.09,CA,1715193739
38,flying fish cove,-10.4217,105.6791,25.82,94,100,4.12,CX,1715193750
39,north bay,46.3168,-79.4663,10.01,93,100,4.63,CA,1715193635
40,puerto natales,-51.7236,-72.4875,0.25,100,100,2.06,CL,1715193750
41,mumford,5.2618,-0.759,28.78,80,95,4.87,GH,1715193750
42,uturoa,-16.7333,-151.4333,27.51,78,74,6.93,PF,1715193750
43,sirte,31.2089,16.5887,20.25,72,0,7.55,LY,1715193750
44,puerto baquerizo moreno,-0.9,-89.6,28.55,65,40,8.75,EC,1715193730
45,blackmans bay,-43.0167,147.3167,10.41,96,79,2.02,AU,1715193751
46,papatowai,-46.5619,169.4708,3.14,84,11,2.67,NZ,1715193751
47,cape town,-33.9258,18.4232,15.51,71,0,3.6,ZA,1715193512
48,invercargill,-46.4,168.35,0.01,95,9,1.34,NZ,1715193751
49,st. john's,47.5649,-52.7093,6.55,91,100,8.23,CA,1715193751
50,polyarnyy,69.1989,33.4478,-3.77,78,88,1.74,RU,1715193751
51,agropoli,40.3469,14.9966,17.27,94,100,1.22,IT,1715193751
52,puente alto,-33.6167,-70.5833,15.27,53,0,1.54,CL,1715193406
53,neunkirchen,49.35,7.1833,16.86,58,0,1.54,DE,1715193751
54,london,51.5085,-0.1257,20.1,61,75,5.14,GB,1715193340
55,laguna,38.421,-121.4238,23.39,26,0,10.29,US,1715193751
56,tete,-16.1564,33.5867,29.05,48,20,2.06,MZ,1715193751
57,isafjordur,66.0755,-23.124,2.05,74,4,4.64,IS,1715193751
58,ghormach,35.7306,63.7826,25.52,41,6,2.05,AF,1715193751
59,lazaro cardenas,17.9583,-102.2,28.29,61,14,4.45,MX,1715193664
60,tchibanga,-2.85,11.0333,24.47,97,100,1.64,GA,1715193751
61,coxim,-18.5067,-54.76,35.61,30,100,2.93,BR,1715193751
62,lincoln city,44.9582,-124.0179,16.09,78,6,8.94,US,1715193751
63,ciudad madero,22.2667,-97.8333,37.11,49,75,4.19,MX,1715193751
64,tarawa,1.419,172.984,28.05,83,40,3.6,KI,1715193751
65,stanley,54.868,-1.6985,15.43,72,20,4.63,GB,1715193453
66,alice springs,-23.7,133.8833,10.75,71,0,3.09,AU,1715193752
67,sur,22.5667,59.5289,34.15,41,90,2.35,OM,1715193752
68,luderitz,-26.6481,15.1594,17.1,70,0,6.66,NA,1715193752
69,adamstown,-25.066,-130.1015,22.0,79,100,3.71,PN,1715193752
70,longyearbyen,78.2186,15.6401,0.91,64,20,3.6,SJ,1715193752
71,dehloran,32.6941,47.2679,23.46,33,0,3.43,IR,1715193752
72,port mathurin,-19.6833,63.4167,25.57,67,90,12.05,MU,1715193752
73,rapla,59.0072,24.7928,4.71,58,97,0.34,EE,1715193752
74,vershino-darasunskiy,52.35,115.5167,3.33,40,74,0.83,RU,1715193752
75,hawaiian paradise park,19.5933,-154.9731,24.94,84,100,1.54,US,1715193752
76,yellowknife,62.456,-114.3525,14.12,59,20,4.12,CA,1715193752
77,puerto yuca,2.9383,-73.2083,27.64,87,100,1.4,CO,1715193752
78,sinabang,2.4803,96.3801,26.96,85,43,1.68,ID,1715193752
79,colonia,50.9333,6.95,16.65,68,0,5.14,DE,1715193752
80,natal,-5.795,-35.2094,31.36,70,75,7.2,BR,1715192904
81,rongelap,11.1635,166.8941,26.93,78,100,9.18,MH,1715193752
82,calingasta,-31.3308,-69.4078,17.63,10,1,0.43,AR,1715193752
83,sao joao da barra,-21.6403,-41.0511,31.05,85,0,5.05,BR,1715193752
84,qaqortoq,60.7167,-46.0333,2.52,61,100,1.43,GL,1715193752
85,college,64.8569,-147.8028,10.6,77,75,1.54,US,1715193752
86,farafangana,-22.8167,47.8333,22.8,85,31,3.99,MG,1715193752
87,ad dabbah,18.05,30.95,28.8,8,100,4.91,SD,1715193752
88,albertina,-22.2008,-46.6158,26.4,47,4,3.75,BR,1715193752
89,port lincoln,-34.7333,135.8667,15.21,81,87,5.2,AU,1715193753
90,zaozersk,69.4005,32.4476,-6.49,86,100,2.46,RU,1715193753
91,lata,40.1629,-8.3327,27.49,33,28,0.77,PT,1715193753
92,kununurra,-15.7667,128.7333,18.99,77,0,1.54,AU,1715193716
93,bredasdorp,-34.5322,20.0403,13.21,81,0,0.24,ZA,1715193753
94,thief river falls,48.1191,-96.1812,19.53,55,75,5.14,US,1715193753
95,ancud,-41.8697,-73.8203,10.09,82,100,7.23,CL,1715193753
96,bilibino,68.0546,166.4372,-4.55,91,100,1.14,RU,1715193753
97,la plata,-34.9215,-57.9545,16.69,60,7,8.07,AR,1715193467
98,robertson,36.5167,-86.8667,26.96,82,40,3.6,US,1715193753
99,undurkhaan,47.3194,110.6556,11.16,22,100,0.1,MN,1715193753
100,orangeville,43.9168,-80.0997,15.72,91,100,7.99,CA,1715193753
101,kalabo,-14.97,22.6814,20.85,30,84,3.16,ZM,1715193753
102,howrah,22.5892,88.3103,27.0,83,40,2.57,IN,1715193753
103,namie,37.4833,141.0,9.29,90,100,2.75,JP,1715193753
104,el granada,37.5027,-122.4694,25.08,34,0,7.72,US,1715193644
105,port arthur,38.8,121.2667,17.12,69,57,4.62,CN,1715193540
106,kapuskasing,49.4169,-82.4331,8.05,61,75,6.69,CA,1715193482
107,smithers,54.7804,-127.1743,10.18,53,75,4.12,CA,1715193753
108,tazacorte,28.629,-17.9293,20.54,83,75,3.09,ES,1715193753
109,brisas de zicatela,15.8369,-97.0419,30.29,66,75,5.14,MX,1715193753
110,nova sintra,14.8667,-24.7167,23.89,74,0,6.35,CV,1715193753
111,ascension,30.2169,-90.9001,32.27,65,75,7.72,US,1715193753
112,talara,-4.5772,-81.2719,27.42,61,0,7.2,PE,1715193753
113,iqaluit,63.7506,-68.5145,-1.15,74,75,7.72,CA,1715193753
114,kirensk,57.7853,108.1119,6.65,58,100,1.79,RU,1715193754
115,moog,8.6011,124.4658,25.76,77,89,1.45,PH,1715193754
116,laojunmiao,39.8333,97.7333,13.87,29,88,3.63,CN,1715193754
117,westport,41.1415,-73.3579,30.15,61,0,6.17,US,1715193540
118,nemuro,43.3236,145.575,2.75,84,8,2.86,JP,1715193754
119,usinsk,65.9939,57.5281,-0.52,89,100,2.68,RU,1715193482
120,progreso,21.2833,-89.6667,39.5,41,96,3.55,MX,1715193754
121,olavarria,-36.8927,-60.3225,12.65,47,4,8.57,AR,1715193588
122,boden,65.8252,21.6886,0.0,88,98,2.3,SE,1715193754
123,la foa,-21.7108,165.8276,18.93,80,1,3.56,NC,1715193754
124,otelu rosu,45.5333,22.3667,12.76,95,12,1.74,RO,1715193754
125,tamanrasset,22.785,5.5228,32.95,9,0,6.17,DZ,1715193754
126,badger,64.8,-147.5333,10.55,68,75,1.54,US,1715193754
127,mahanoro,-19.9,48.8,22.84,82,0,2.08,MG,1715193754
128,ismailia,30.6043,32.2723,20.16,51,27,5.72,EG,1715193754
129,sechura,-5.5569,-80.8222,25.91,58,16,6.25,PE,1715193562
130,enewetak,11.3474,162.3373,27.55,71,99,9.13,MH,1715193754
131,lebu,-37.6167,-73.65,11.93,65,47,3.72,CL,1715193754
132,al qabil,22.571,58.6947,33.65,35,13,6.06,OM,1715193754
133,ta`u,-14.2336,-169.5144,28.89,79,97,5.5,AS,1715193754
134,dudinka,69.4058,86.1778,-10.74,94,100,3.13,RU,1715193754
135,portland,45.5234,-122.6762,16.4,64,20,2.68,US,1715193604
136,masterton,-40.9597,175.6575,7.71,85,98,5.65,NZ,1715193754
137,arno,60.1167,18.6333,2.1,92,100,3.37,SE,1715193755
138,sisimiut,66.9395,-53.6735,-1.19,73,71,2.23,GL,1715193755
139,la peca,-5.6111,-78.435,30.6,52,76,1.48,PE,1715193755
140,vila franca do campo,37.7167,-25.4333,18.27,99,49,4.58,PT,1715193755
141,chonchi,-42.6128,-73.8092,9.56,90,100,3.25,CL,1715193755
142,zabaykal'sk,49.6333,117.3167,7.71,29,0,3.02,RU,1715193748
143,altay,47.8667,88.1167,12.0,52,0,3.57,CN,1715193755
144,aioun,16.6614,-9.6149,39.4,12,23,3.81,MR,1715193755
145,ad dilinjat,30.8279,30.5363,18.86,44,7,4.2,EG,1715193755
146,palm bay,28.0345,-80.5887,33.94,59,40,6.17,US,1715193625
147,miri,4.4148,114.0089,27.08,89,40,0.0,MY,1715193755
148,la villa del rosario,10.3258,-72.3134,30.13,70,49,1.23,VE,1715193755
149,la tuque,47.4334,-72.7824,12.14,43,100,1.03,CA,1715193740
150,dryden,49.7833,-92.7503,15.16,44,0,4.63,CA,1715193755
151,georgetown,5.4112,100.3354,28.96,83,20,1.54,MY,1715193564
152,kapa'a,22.0752,-159.319,26.99,81,100,4.63,US,1715193755
153,kristiansund,63.1115,7.732,10.03,66,75,1.03,NO,1715193755
154,aasiaat,68.7098,-52.8699,-3.84,71,86,4.58,GL,1715193755
155,puerto aysen,-45.4,-72.7,5.41,100,100,1.16,CL,1715193619
156,nema,57.5067,50.5011,-2.04,91,20,4.43,RU,1715193755
157,gufeng,26.9083,118.9819,12.42,94,100,1.38,CN,1715193755
158,amursk,50.2261,136.8994,10.55,55,100,4.19,RU,1715193755
159,muisne,0.6,-80.0333,26.83,82,100,3.82,EC,1715193756
160,aykhal,66.0,111.5,-8.57,97,99,3.33,RU,1715193756
161,moose jaw,50.4001,-105.5344,17.15,55,40,7.72,CA,1715193508
162,fraserburgh,57.6874,-2.0184,11.73,84,100,1.47,GB,1715193756
163,iskateley,67.6803,53.1512,-4.99,88,100,7.15,RU,1715193756
164,ash shihaniyah,25.3686,51.2264,30.79,54,1,7.08,QA,1715193756
165,flin flon,54.7682,-101.865,14.91,44,20,1.03,CA,1715193498
166,holualoa,19.6228,-155.9522,23.91,75,40,5.14,US,1715193756
167,keflavik,64.0049,-22.5624,7.24,61,75,5.14,IS,1715193756
168,zyrya,40.3661,50.2917,15.05,72,10,4.87,AZ,1715193756
169,palmer,42.1584,-72.3287,24.56,94,100,0.0,US,1715193756
170,khovd,48.0056,91.6419,11.82,54,100,3.97,MN,1715193756
171,taksimo,56.3444,114.8794,2.48,63,78,0.7,RU,1715193757
172,kiunga,-6.1219,141.2906,23.36,100,100,1.2,PG,1715193757
173,talnakh,69.4865,88.3972,-11.0,79,98,1.88,RU,1715193757
174,preobrazheniye,42.9019,133.9064,5.22,84,8,2.63,RU,1715193757
175,marsa alam,25.0757,34.8918,25.16,38,100,3.68,EG,1715193757
176,jianshui,23.6363,102.8264,17.24,96,100,1.75,CN,1715193757
177,porto seguro,-16.4497,-39.0647,28.29,74,20,3.6,BR,1715193757
178,santa ana,33.7456,-117.8678,23.93,59,20,5.14,US,1715193699
179,vorkuta,67.5,64.0,-9.38,93,100,2.24,RU,1715193757
180,klyuchi,52.2667,79.1667,13.22,49,14,2.6,RU,1715193758
181,thunder bay,48.4001,-89.3168,14.99,44,40,5.14,CA,1715193276
182,ust'-uda,54.1742,103.0304,10.96,62,100,4.45,RU,1715193758
183,qarqaraly,49.4058,75.4742,12.36,60,99,3.71,KZ,1715193679
184,luanco,43.6152,-5.7934,16.63,85,15,8.05,ES,1715193758
185,guerrero negro,27.9769,-114.0611,19.19,59,0,8.33,MX,1715193758
186,pesqueria,25.7833,-100.05,42.88,38,75,2.06,MX,1715193758
187,morehead city,34.7229,-76.726,33.03,79,0,7.72,US,1715193758
188,montbrison,45.6667,4.0833,14.26,94,37,4.84,FR,1715193758
189,chernyshevskiy,63.0128,112.4714,-9.82,98,46,1.07,RU,1715193758
190,scottburgh,-30.2867,30.7532,19.77,85,1,3.03,ZA,1715193758
191,sarykemer,43.0,71.5,18.71,51,99,3.68,KZ,1715193759
192,lunino,53.5918,45.2271,2.95,75,31,2.5,RU,1715193759
193,vilyuysk,63.7553,121.6247,-3.73,95,100,3.97,RU,1715193759
194,port alfred,-33.5906,26.891,18.99,92,100,0.89,ZA,1715193759
195,lompoc,34.6391,-120.4579,25.01,58,0,5.66,US,1715193759
196,severo-yeniseyskiy,60.3725,93.0408,1.43,98,100,4.47,RU,1715193759
197,callao,-12.0667,-77.15,20.16,83,40,4.12,PE,1715193759
198,brooks,50.5834,-111.8851,8.99,61,98,9.26,CA,1715193759
199,lensk,60.7253,114.9278,-0.97,85,18,0.92,RU,1715193759
200,sao miguel do araguaia,-13.275,-50.1628,32.65,37,12,2.11,BR,1715193759
201,dunedin,-45.8742,170.5036,3.22,93,6,1.34,NZ,1715193759
202,castillos,-34.1667,-53.8333,15.96,89,100,6.06,UY,1715193760
203,lihue,21.9789,-159.3672,26.58,76,100,4.63,US,1715193555
204,barra de santo antonio,-9.4047,-35.5072,26.6,79,100,4.59,BR,1715193760
205,aksuat,48.7167,83.7,12.55,61,0,2.94,KZ,1715193760
206,olonkinbyen,70.9221,-8.7187,-1.6,99,100,9.38,SJ,1715193760
207,kodiak,57.79,-152.4072,3.73,65,0,4.12,US,1715193760
208,acapulco de juarez,16.8634,-99.8901,28.9,65,40,3.6,MX,1715193641
209,shingu,33.7333,135.9833,10.17,73,100,2.84,JP,1715193760
210,fort st. john,56.2499,-120.8529,11.94,35,40,9.26,CA,1715193530
211,touros,-5.1989,-35.4608,28.69,75,48,5.23,BR,1715193760
212,san javier,37.8063,-0.8374,22.27,71,0,3.13,ES,1715193760
213,kone,-21.0595,164.8658,17.07,91,0,1.69,NC,1715193760
214,dazhou,31.2159,107.5009,18.91,91,100,2.52,CN,1715193760
215,gamba,-2.65,10.0,26.06,91,100,2.95,GA,1715193760
216,whitehorse,60.7161,-135.0538,8.78,54,75,8.23,CA,1715193761
217,medina,24.4686,39.6142,33.24,9,0,2.57,SA,1715193761
218,tura,25.5198,90.2201,20.87,64,0,1.69,IN,1715193515
219,knysna,-34.0363,23.0471,14.26,86,0,1.65,ZA,1715193761
220,dunda,-8.1167,34.25,20.09,73,100,3.06,TZ,1715193761
221,kirakira,-10.4544,161.9205,26.13,84,100,3.26,SB,1715193761
222,amga,60.8953,131.9608,2.02,84,100,3.92,RU,1715193761
223,norrtalje,59.758,18.705,3.57,98,100,2.29,SE,1715193761
224,nuuk,64.1835,-51.7216,3.34,60,75,4.63,GL,1715193761
225,mount isa,-20.7333,139.5,22.87,68,95,3.6,AU,1715193761
226,east london,-33.0153,27.9116,19.52,94,100,1.03,ZA,1715193761
227,chibougamau,49.9168,-74.3659,9.79,50,100,5.14,CA,1715193761
228,port-vila,-17.7338,168.3219,23.03,63,100,5.53,VU,1715193761
229,punta arenas,-53.15,-70.9167,3.06,93,75,1.54,CL,1715193528
230,freetown,8.484,-13.2299,29.84,74,75,6.17,SL,1715193746
231,skeldon,5.8833,-57.1333,28.95,71,100,4.19,GY,1715193761
232,vadso,70.0744,29.7487,0.09,74,40,2.57,NO,1715193761
233,nanchang,28.6833,115.8833,19.61,72,100,2.9,CN,1715193761
234,carnarvon,-24.8667,113.6333,21.66,54,26,1.06,AU,1715193761
235,walvis bay,-22.9575,14.5053,17.53,77,0,2.06,NA,1715193761
236,cabedelo,-6.9811,-34.8339,30.37,78,100,4.43,BR,1715193541
237,ouadda,8.0777,22.4007,28.41,23,59,2.48,CF,1715193762
238,pizarro,4.9533,-77.366,25.83,93,100,4.29,CO,1715193762
239,madalena,41.2162,-8.3345,24.05,42,24,0.71,PT,1715193762
240,uruzgan,32.8333,66.0,22.62,32,0,1.78,AF,1715193762
241,changji,44.0167,87.3167,16.44,77,75,2.0,CN,1715193762
242,sitka,57.0531,-135.33,7.94,87,100,6.17,US,1715193762
243,kabare,-2.4683,28.8242,17.64,98,100,1.12,CD,1715193762
244,san isidro de curuguaty,-24.5167,-55.7,36.44,30,17,4.26,PY,1715193762
245,cidreira,-30.1811,-50.2056,23.65,83,100,5.57,BR,1715193532
246,ciudad insurgentes,25.2625,-111.7753,26.23,26,0,8.0,MX,1715193762
247,yur'yev-pol'skiy,56.5,39.6833,0.92,83,100,3.55,RU,1715193762
248,vokhtoga,58.8147,41.0461,-1.5,57,56,3.34,RU,1715193762
249,berezovyy,51.6667,135.7,10.73,55,100,2.29,RU,1715193762
250,retreat,38.8245,-85.8533,28.54,69,83,1.34,US,1715193762
251,queenstown,-31.8976,26.8753,13.59,81,4,2.17,ZA,1715193753
252,gunjur,13.2019,-16.7339,29.04,65,0,5.14,GM,1715193762
253,rujewa,-8.7,34.3833,20.17,70,67,5.01,TZ,1715193762
254,cooma,-36.2333,149.1333,8.8,96,100,0.17,AU,1715193762
255,praia da vitoria,38.7333,-27.0667,20.14,68,20,5.23,PT,1715193762
256,la passe,45.5549,-0.8967,20.13,82,43,4.21,FR,1715193762
257,delogozda,41.2572,20.7236,14.38,77,40,2.06,MK,1715193762
258,vorgashor,67.5833,63.95,-9.55,93,100,3.45,RU,1715193762
259,ghat,24.9647,10.1728,32.61,9,7,4.75,LY,1715193762
260,refahiye,39.9008,38.7667,8.6,63,0,1.34,TR,1715193762
261,berezniki,59.4152,56.8124,2.74,97,100,3.12,RU,1715193763
262,iquique,-20.2208,-70.1431,20.02,79,17,1.86,CL,1715193110
263,mitu,1.1983,-70.1733,30.94,67,94,1.23,CO,1715193763
264,constantia,44.1833,28.65,11.5,86,31,7.14,RO,1715193763
265,gobabis,-22.45,18.9667,24.05,34,31,5.12,NA,1715193763
266,papao,-17.75,-149.55,28.82,82,100,7.04,PF,1715193763
267,paulista florida,-21.6,-51.2,32.76,32,7,4.29,BR,1715193763
268,i-n-salah,27.1935,2.4607,33.12,11,0,6.3,DZ,1715193763
269,ola,59.5833,151.2833,0.08,92,100,1.14,RU,1715193763
270,coronado,32.6859,-117.1831,23.43,64,40,6.69,US,1715193763
271,anadyr,64.75,177.4833,-7.72,67,0,4.0,RU,1715193763
272,peterhead,57.5058,-1.7981,17.22,84,100,1.81,GB,1715193763
273,yuzhno-kurilsk,44.0306,145.8556,2.99,95,69,5.23,RU,1715193763
274,palikir - national government center,6.9248,158.1611,27.41,89,100,1.54,FM,1715193763
275,dzhambeyty,50.2536,52.595,7.87,76,98,8.97,KZ,1715193680
276,khandyga,62.6667,135.6,0.73,95,100,1.68,RU,1715193763
277,markovo,57.3206,107.0881,6.03,71,100,1.79,RU,1715193763
278,newport,51.5877,-2.9984,17.76,63,100,3.57,GB,1715193548
279,ruteng,-8.6136,120.4721,15.54,93,8,0.95,ID,1715193763
280,acajutla,13.5928,-89.8275,31.61,65,100,4.13,SV,1715193763
281,kodinsk,58.6881,99.1844,8.58,90,82,3.91,RU,1715193763
282,as pontes de garcia rodriguez,43.4527,-7.8518,20.17,80,89,0.46,ES,1715193763
283,cole harbour,44.6724,-63.4751,16.66,49,75,7.72,CA,1715193763
284,brasileia,-11.0161,-68.7481,34.25,59,75,1.54,BR,1715193763
